"CityName","Locality","CityTownName","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"臺中市","后里區","臺中市后里區","50503",51141,51545,51678,52145,52315,52678,52941,53193,53464,54032,54575,54890,55114,54989,54847,54852,54875,54953,55386,55350,55554,55674,55042,54776,54630,54562,54566,54401,54287,54033,54089,54076,54106,54344,54332,54482,54775,54666
"臺中市","神岡區","臺中市神岡區","45094",45890,46645,47535,48164,48592,49290,50107,51028,52538,53701,55332,56428,57516,58347,59257,60184,60861,61571,62487,62881,63186,63624,63852,63817,64230,64271,64159,63982,63753,63921,64534,64899,64956,65178,65496,65553,65711,65679
"臺中市","潭子區","臺中市潭子區","47323",49060,50057,51097,51843,52905,55210,56892,58297,60657,62325,64194,67009,71204,75351,79230,82321,84828,87405,89956,90987,93083,94220,94834,95462,96450,97416,98456,99677,100481,101781,103516,104471,105165,106557,107530,108288,108952,109324
"臺中市","大雅區","臺中市大雅區","41248",42868,44396,45897,47236,48426,49424,50918,52389,54172,56156,58494,61157,64766,68883,71876,74651,76994,79125,80974,82158,83276,84297,85177,85739,86993,87976,88864,89499,89825,90591,91367,91939,92628,93661,94488,95203,95815,95772
"臺中市","新社區","臺中市新社區","27863",28006,27845,27906,27894,27508,27353,27315,26972,27016,27106,27324,27452,27328,27243,27302,27190,27089,26915,26740,26698,26654,26565,26333,26194,25915,25820,25819,25761,25637,25495,25378,25322,25242,25086,24947,24754,24576,24289
"臺中市","石岡區","臺中市石岡區","15066",15176,15296,15487,15768,15498,15165,14961,15040,15024,15110,15293,15449,15370,15399,15297,15444,15573,15382,15264,15290,15419,15457,15650,15887,16109,16167,16162,16146,15976,15792,15763,15636,15405,15295,15174,15066,14956,14758
"臺中市","外埔區","臺中市外埔區","24788",25470,25777,26197,26419,26726,26781,26995,27348,27623,27890,28401,28834,29172,29666,30034,30228,30724,31126,31449,31515,31597,31389,31253,31428,31630,31888,31986,32007,32051,32005,31797,31845,31800,31899,32034,32185,32230,32224
"臺中市","大安區","臺中市大安區","21258",21283,21232,21237,21903,21145,21072,20846,20828,20560,20723,20810,21044,21023,21069,21150,21263,21329,21370,21360,21435,21420,21289,21099,20964,20817,20787,20605,20417,20308,20081,19910,19720,19654,19542,19409,19303,19267,19111
"臺中市","烏日區","臺中市烏日區","48178",48991,49579,50841,51944,52320,52892,54124,55321,56521,57940,58760,58788,59951,60507,61958,63069,63860,64037,64668,65088,65186,65413,65765,66083,67065,67445,67970,68373,68709,69224,70068,70624,71520,72514,73647,74554,75372,75610
"臺中市","大肚區","臺中市大肚區","37326",39241,40701,41868,42208,43056,44065,45100,45922,47605,49064,50132,50989,51773,52106,52603,53211,53780,54389,54685,54973,55061,55180,55566,55722,55886,55932,55945,55874,55725,55739,55863,55995,56364,56627,57207,57322,57324,57085
"臺中市","龍井區","臺中市龍井區","41119",41532,42293,42922,43672,44282,44961,46129,46945,48180,49640,51482,53148,54857,56639,58889,60833,62893,65092,66895,67624,68486,68878,69582,70372,71510,71961,73041,73934,74474,74682,75138,75664,76164,76666,77236,77818,77998,78027
"臺中市","霧峰區","臺中市霧峰區","55683",56903,57956,59151,59701,59790,59752,60521,61219,62221,62760,64286,64185,65499,66199,66939,67635,68307,67648,66354,65924,65525,65188,64957,64747,64627,64474,64228,63906,63975,63904,64183,64280,64496,64657,64898,65393,65619,65419
"臺中市","太平區","臺中市太平區","75953",80605,85275,90568,95224,99672,104797,110199,114021,118429,122923,129182,135103,143015,148810,153693,158145,162615,165524,166923,167907,168892,169969,170363,170712,171139,171628,172363,172389,172965,174284,176594,178870,181537,183923,186271,189066,191752,193729
"臺中市","大里區","臺中市大里區","77908",82812,87090,92089,96740,101136,107308,114430,118643,124422,132039,138498,152261,156040,159896,163336,165902,169239,171940,174930,176860,178998,181308,184164,186818,189945,192437,194550,196056,197716,200588,203239,204846,206318,208406,210285,211492,212104,212711
"臺中市","和平區","臺中市和平區","11054",10845,10689,10397,10209,10322,10516,10479,10514,10170,10162,10162,10734,10662,11019,10883,11015,11018,11172,11121,11317,11324,11309,11181,11058,10960,10880,10803,10730,10743,10683,10556,10589,10825,10726,10795,10949,11015,10902
"臺南市","新營區","臺南市新營區","67373",68080,68499,68850,69252,69650,70358,70451,70729,71421,72279,73054,73462,74332,75114,75446,75297,75836,76475,77198,77661,77946,78057,78390,78365,78742,78985,78715,78233,78105,78473,78475,78521,78231,78165,78101,77966,77617,76969
"臺南市","鹽水區","臺南市鹽水區","31917",31505,31098,30873,30375,30023,29614,29200,28926,28756,28972,28949,29057,29344,29372,29462,29269,29209,29141,28947,28829,28815,28682,28488,28397,28115,27872,27585,27321,27160,26891,26695,26426,26322,26085,25871,25583,25395,25223
"臺南市","白河區","臺南市白河區","42941",43107,42700,42446,41962,41401,40807,40037,39223,38767,38468,38358,38096,37691,37260,36832,36296,35818,35324,34833,34554,34223,33843,33547,33132,32795,32323,31926,31735,31395,30947,30602,30178,29731,29271,28819,28520,28105,27688
"臺南市","柳營區","臺南市柳營區","25953",25746,25519,25324,25208,24844,24638,24381,24204,24339,24420,24497,24719,24846,24848,24857,24849,24683,24548,24389,24124,23984,23998,23826,23673,23463,23241,23147,22987,22726,22443,22160,21932,21828,21629,21520,21365,21205,21068
"臺南市","後壁區","臺南市後壁區","34138",33736,33189,32734,32313,31659,31176,30710,30231,29924,29704,29690,29494,29431,29484,29380,29283,28837,28537,28186,27820,27553,27317,27161,26852,26768,26538,26294,26163,25884,25569,25280,24910,24589,24329,24066,23718,23346,23001
"臺南市","東山區","臺南市東山區","30734",30434,30130,29880,29439,28959,28448,28356,28028,27537,27348,27235,27137,26965,26689,26497,26169,25813,25649,25298,25149,24900,24728,24385,24222,23959,23793,23532,23414,23117,22771,22529,22195,21920,21603,21320,21049,20788,20449
"臺南市","麻豆區","臺南市麻豆區","47210",47247,47066,47074,46967,46750,46658,46556,46482,46632,46718,47000,47042,47407,47609,47657,47559,47421,47457,47457,47382,47165,46919,46666,46571,46362,46322,46164,46089,45795,45609,45377,45230,45067,44987,44812,44603,44260,43993
"臺南市","下營區","臺南市下營區","30329",30335,30205,30239,30179,29767,29476,29129,29118,29223,29145,29114,28957,28870,28736,28584,28471,28311,28121,28032,27833,27672,27525,27340,27161,26906,26793,26612,26411,26119,25803,25612,25333,25068,24786,24508,24239,23916,23686
"臺南市","六甲區","臺南市六甲區","25860",25824,26382,26527,26139,26178,26161,25679,26024,26067,26448,26628,26186,25442,25489,25507,25522,25406,25293,25253,25223,25163,25097,24975,24869,24599,24400,24211,23984,23694,23509,23346,23151,22832,22586,22406,22275,22148,21886
"臺南市","官田區","臺南市官田區","25303",25017,24798,24912,24682,24443,24069,23848,23944,23861,24030,24205,24411,24164,24159,24148,24160,24061,23916,23958,23553,23358,23271,23234,23149,22825,22642,22529,22455,22212,21965,21912,21823,21706,21685,21535,21448,21314,21371
"臺南市","大內區","臺南市大內區","14972",14696,14508,14267,14143,13824,13443,13200,13284,13055,12923,12978,12976,12879,12693,12599,12448,12363,12175,12116,11978,11926,11812,11611,11557,11458,11342,11205,11093,10899,10674,10537,10408,10248,10054,9962,9761,9605,9391
"臺南市","佳里區","臺南市佳里區","49982",50582,51415,51972,52191,52560,53034,53470,53685,54265,54764,55002,55129,56099,56733,56959,57172,57116,57403,57980,58257,58567,58858,58855,58811,59216,59244,59329,59464,59269,59155,59289,59372,59533,59555,59458,59380,59083,59089
"臺南市","學甲區","臺南市學甲區","32739",32580,32451,32510,32328,32093,31822,31742,31768,31645,31650,31648,31187,31371,31220,30995,30943,30727,30426,30090,29992,29772,29547,29336,29094,28805,28582,28313,28173,27864,27583,27414,27167,26949,26652,26377,26078,25665,25501
"臺南市","西港區","臺南市西港區","23003",23034,22913,23058,23073,23098,23128,23065,23266,23439,23808,24116,24483,24961,25397,25752,25917,26049,26226,26222,26236,26130,26087,25982,25960,25809,25542,25415,25357,25200,25069,25034,24914,24896,24921,24870,24758,24690,24554
"臺南市","七股區","臺南市七股區","28866",28306,27656,28382,28097,29092,28366,27342,27041,26908,26635,26639,27432,26630,26322,26334,26287,26279,26109,25952,25976,25910,25705,25547,25517,25136,25348,25115,24958,24815,24649,24225,23871,23608,23365,23172,22974,22732,22299
"臺南市","將軍區","臺南市將軍區","27412",27201,26918,26623,26728,26132,25563,25156,25158,24984,24846,24636,24434,24430,24383,24141,24092,23923,23825,23569,23440,23215,23049,22813,22711,22421,22103,21935,21798,21579,21261,21005,20808,20568,20309,20051,19849,19664,19353
